scope_level,scope_label,week_normalized,day,total_revenue,total_cost,profit_margin,dollar_profit,fixed_overhead_cost,fixed_operating_cost,gas,driver_wage,total_cost_check,source_sheet,source_row
quarter_total,Quarter One Total,,Monday,4646,4086.11,0.12051011622901418,559.88999999999987,1875,1050,161.10999999999996,1000,4086.11,SecureCare Profit,6
quarter_total,Quarter One Total,,Tuesday,4700.5,4063.0300000000007,0.13561748750132951,637.46999999999935,1875,1050,138.03,1000,4063.03,SecureCare Profit,7
quarter_total,Quarter One Total,,Wednesday,2895.5,4037.4600000000005,-0.39439129683992419,-1141.9600000000005,1875,1050,112.46000000000001,1000,4037.46,SecureCare Profit,8
quarter_total,Quarter One Total,,Thursday,5423.5,4089.8199999999997,0.24590762422789716,1333.6800000000003,1875,1050,148.38,1000,4073.38,SecureCare Profit,9
quarter_total,Quarter One Total,,Friday,6175.41,4144.2999999999993,0.32890285827175858,2031.1100000000006,1875,1050,207.32,1000,4132.32,SecureCare Profit,10
quarter_total,Quarter One Total,,Saturday,662.5,2.88,0.99565283018867923,659.62,0,0,49.64,0,49.64,SecureCare Profit,11
quarter_total,Quarter One Total,,Total,24503.41,20441.940000000002,0.16575121585118144,4061.4699999999975,9375,5250,816.93999999999994,5000,20441.940000000002,SecureCare Profit,12
week,Week 1,Week 1,Monday 9/29,1343.5,982.12,0.26898399702270187,361.38,535,210,37.119999999999997,200,982.12,SecureCare Profit,17
week,Week 1,Week 1,Tuesday,640,961.35,-0.50210937500000008,-321.35000000000002,535,210,16.350000000000001,200,961.35,SecureCare Profit,18
week,Week 1,Week 1,Wednesday,438.5,958.41,-1.1856556442417332,-519.91,535,210,13.41,200,958.41,SecureCare Profit,19
week,Week 1,Week 1,Thursday,469.5,960.61,-1.0460276890308839,-491.11,535,210,15.61,200,960.61,SecureCare Profit,20
week,Week 1,Week 1,Friday,698.5,974.68,-0.39539012168933424,-276.17999999999995,535,210,29.68,200,974.68,SecureCare Profit,21
week,Week 1,Week 1,Saturday,524.5,2.88,0.99450905624404196,521.62,,,2.88,,2.88,SecureCare Profit,22
week,Week 1,Week 1,Total,4114.5,4840.05,-0.17633977397010578,-725.55000000000018,2675,1050,115.04999999999998,1000,4840.05,SecureCare Profit,23
week,Week 2,Week 2,Monday 10/6,1847,795.72,0.56918245804006495,1051.28,335,210,50.72,200,795.72,SecureCare Profit,28
week,Week 2,Week 2,Tuesday,552,759.44,-0.37579710144927547,-207.44000000000005,335,210,14.44,200,759.44,SecureCare Profit,29
week,Week 2,Week 2,Wednesday,683.5,769.55,-0.12589612289685437,-86.049999999999955,335,210,24.55,200,769.55,SecureCare Profit,30
week,Week 2,Week 2,Thursday,138,759.19,-4.501376811594203,-621.19000000000005,335,210,14.19,200,759.19,SecureCare Profit,31
week,Week 2,Week 2,Friday,140.41,757.71,-4.3964105120717907,-617.30000000000007,335,210,12.71,200,757.71,SecureCare Profit,32
week,Week 2,Week 2,Saturday,,0,0,0,,,,,0,SecureCare Profit,33
week,Week 2,Week 2,Total,3360.91,3841.61,-0.14302673978178537,-480.70000000000027,1675,1050,116.60999999999999,1000,3841.61,SecureCare Profit,34
week,Week 3,Week 3,Monday 10/13,1048,793.55,0.24279580152671759,254.45000000000005,335,210,48.55,200,793.55,SecureCare Profit,39
week,Week 3,Week 3,Tuesday,763,762.72,3.669724770641844E-4,0.27999999999997272,335,210,17.72,200,762.72,SecureCare Profit,40
week,Week 3,Week 3,Wednesday,438.5,763.34,-0.74079817559863181,-324.84000000000003,335,210,18.34,200,763.34,SecureCare Profit,41
week,Week 3,Week 3,Thursday,1353,779.78,0.42366592756836663,573.22,335,210,34.78,200,779.78,SecureCare Profit,42
week,Week 3,Week 3,Friday,1832.5,791.76,0.56793451568894948,1040.74,335,210,46.76,200,791.76,SecureCare Profit,43
week,Week 3,Week 3,Saturday,,0,0,0,,,,,0,SecureCare Profit,44
week,Week 3,Week 3,Total,5435,3891.15,0.28405703771849122,1543.85,1675,1050,166.15,1000,3891.15,SecureCare Profit,45
week,Week 4,Week 4,Monday,131.5,748.89,-4.6949809885931559,-617.39,335,210,3.89,200,748.89,SecureCare Profit,50
week,Week 4,Week 4,Tuesday,835,773.55,7.3592814371257545E-2,61.450000000000045,335,210,28.55,200,773.55,SecureCare Profit,51
week,Week 4,Week 4,Wednesday,243.5,767.26,-2.1509650924024641,-523.76,335,210,22.26,200,767.26,SecureCare Profit,52
week,Week 4,Week 4,Thursday,2833,820.71,0.7103035651253089,2012.29,335,210,75.709999999999994,200,820.71,SecureCare Profit,53
week,Week 4,Week 4,Friday,1112.5,803.54,0.27771685393258433,308.96000000000004,335,210,58.54,200,803.54,SecureCare Profit,54
week,Week 4,Week 4,Saturday,138,0,1,138,,,,,0,SecureCare Profit,55
week,Week 4,Week 4,Total,5293.5,3913.95,0.26061207140833098,1379.5500000000002,1675,1050,188.95,1000,3913.95,SecureCare Profit,56
week,Week 5,Week 5,Monday,276,765.83,-1.7747463768115943,-489.83000000000004,335,210,20.83,200,765.83,SecureCare Profit,61
week,Week 5,Week 5,Tuesday,1910.5,805.97,0.57813661345197587,1104.53,335,210,60.97,200,805.97,SecureCare Profit,62
week,Week 5,Week 5,Wednesday,1091.5,778.9,0.2863948694457169,312.60000000000002,335,210,33.9,200,778.9,SecureCare Profit,63
week,Week 5,Week 5,Thursday,630,769.53,-0.22147619047619044,-139.52999999999997,335,210,24.53,200,769.53,SecureCare Profit,64
week,Week 5,Week 5,Friday,2391.5,816.61,0.65853648337863258,1574.8899999999999,335,210,71.61,200,816.61,SecureCare Profit,65
week,Week 5,Week 5,Saturday,,0,0,0,,,,,0,SecureCare Profit,66
week,Week 5,Week 5,Total,6299.5,3936.84,0.37505516310818315,2362.66,1675,1050,211.83999999999997,1000,3936.84,SecureCare Profit,67
