source_workbook,source_sheet,extraction_type,source_reference,output_artifact,grain,status,notes
code/inputs/Q1 Daily Metrics 2026.xlsx,Contract Volume,excel_table,Table25 / B2:R17929,contract_volume_base.csv,order_row,canonical,Primary historical fact table.
code/inputs/Q1 Daily Metrics 2026.xlsx,Mode Breakdown,excel_table,Table252 / B34:S17961,mode_breakdown_base.csv,order_row,diagnostic,Mode-focused duplicate raw table with Trip Count.
code/inputs/Q1 Daily Metrics 2026.xlsx,Revenue by Payer,duplicate_raw_sheet,Table2527 / B2:R17929,not_extracted_as_primary,order_row,quarantined,Raw duplicate of Contract Volume; better handled as a derived summary from the canonical fact table.
code/inputs/Q1 Daily Metrics 2026.xlsx,Vehicle Breakdown,excel_table,Table12 / C38:K2526,vehicle_day_base.csv,vehicle_day,canonical,Primary operational vehicle table.
code/inputs/Q1 Daily Metrics 2026.xlsx,Vehicle Breakdown,excel_table,Table13 / AG37:AL2615,driver_active_time_base.csv,driver_day,diagnostic,Driver active-time companion table with grain mismatch versus vehicle_day_base.
code/inputs/Q1 Daily Metrics 2026.xlsx,Weekly Margin,manual_block_extractor,Quarter total block plus repeating week blocks,weekly_margin_base.csv,scope_day,canonical,Merged report layout required manual block parsing.
code/inputs/Q1 Daily Metrics 2026.xlsx,SecureCare Profit,manual_block_extractor,Quarter total block plus repeating week blocks,securecare_profit_base.csv,scope_day,canonical,SecureCare-specific economic summary for higher-acuity analysis.
code/inputs/RideYourWay_Prospective_Market_Intake_Template.xlsx,Organization Intake,paired_form_fields,A:F key-value layout,prospective_org_intake_template_long.csv,field_row,diagnostic,Schema contract for external input collection.
code/inputs/RideYourWay_Prospective_Market_Intake_Example.xlsx,Organization Intake,paired_form_fields,A:F key-value layout,prospective_org_intake_example_long.csv,field_row,canonical,Filled example establishes semantics for intake fields.
code/inputs/RideYourWay_Prospective_Market_Intake_Template.xlsx,Trip Demand Input,row_oriented_form,Header plus service-line rows,prospective_trip_demand_template.csv,service_line_row,diagnostic,Input schema including derived workbook fields.
code/inputs/RideYourWay_Prospective_Market_Intake_Example.xlsx,Trip Demand Input,row_oriented_form,Header plus service-line rows,prospective_trip_demand_example.csv,service_line_row,canonical,Primary prospective service-line example for MVP demonstration.
code/inputs/RideYourWay_Prospective_Market_Intake_Example.xlsx,Organization Intake + Trip Demand Input,phase1_merge,Organization metadata repeated onto service-line rows,prospective_intake_base.csv,service_line_row,canonical,Minimum viable prospective base table for downstream scenario work.
