week,stream,total_revenue,total_cost,profit_margin
Week 1,Fleet,109173.59999999999,129801.06,-0.18894183209127488
Week 2,Fleet,176938.64,154515.28,0.12672958263949588
Week 3,Fleet,191137.44,154816.44,0.19002556485008903
Week 4,Fleet,165758.72,146674.64,0.1151316805535177
Week 5,Fleet,189549.5,149809.38,0.20965563085104416
Week 1,SecureCare,8229.0,9680.1,-0.17633977397010578
Week 2,SecureCare,6721.82,7683.22,-0.14302673978178537
Week 3,SecureCare,10870.0,7782.3,0.2840570377184912
Week 4,SecureCare,10587.0,7827.9,0.260612071408331
Week 5,SecureCare,12599.0,7873.68,0.37505516310818315
