column,dtype
scope_level,str
scope_label,str
week_normalized,str
day,str
total_revenue,float64
total_cost,float64
profit_margin,float64
dollar_profit,float64
fixed_overhead_cost,float64
fixed_operating_cost,int64
gas,float64
driver_wage,float64
total_cost_check,float64
capx,float64
post_capx_margin,float64
overhead_balance_total_revenue,float64
overhead_balance_total_cost,float64
overhead_balance_profit_margin,float64
office_wage_overhead,float64
max_allowance,float64
percent_revenue,float64
percent_cost,float64
source_sheet,str
source_row,int64
