filename,rows,source_relative
contract_volume_base.csv,8087,code/intermediates/phase1/contract_volume_base.csv
driver_active_time_base.csv,773,code/intermediates/phase1/driver_active_time_base.csv
field_dictionary.csv,274,code/intermediates/phase1/field_dictionary.csv
join_key_inventory.csv,7,code/intermediates/phase1/join_key_inventory.csv
minimum_viable_subset.csv,8,code/intermediates/phase1/minimum_viable_subset.csv
missingness_audit.csv,274,code/intermediates/phase1/missingness_audit.csv
mode_breakdown_base.csv,17927,code/intermediates/phase1/mode_breakdown_base.csv
mode_summary_base.csv,215,code/intermediates/phase1/mode_summary_base.csv
payer_summary_base.csv,1499,code/intermediates/phase1/payer_summary_base.csv
prospective_intake_base.csv,8,code/intermediates/phase1/prospective_intake_base.csv
quarantine_list.csv,7,code/intermediates/phase1/quarantine_list.csv
readiness_training_base.csv,4000,code/intermediates/phase1/readiness_training_base.csv
readiness_training_provenance.json,-1,code/intermediates/phase1/readiness_training_provenance.json
securecare_profit_base.csv,42,code/intermediates/phase1/securecare_profit_base.csv
sheet_lineage_map.csv,12,code/intermediates/phase1/sheet_lineage_map.csv
unit_dictionary.csv,274,code/intermediates/phase1/unit_dictionary.csv
vehicle_day_base.csv,772,code/intermediates/phase1/vehicle_day_base.csv
weekly_margin_base.csv,42,code/intermediates/phase1/weekly_margin_base.csv
