variant,threshold,accuracy,f1,roc_auc,sensitivity,specificity,ppv,npv,balanced_accuracy,false_ready_rate,missed_ready_rate
smote,0.2,0.99375,0.9938650306748467,0.9999906235349273,1.0,0.9873417721518988,0.9878048780487805,1.0,0.9936708860759493,0.012658227848101266,0.0
smote,0.21000000000000002,0.99375,0.9938650306748467,0.9999906235349273,1.0,0.9873417721518988,0.9878048780487805,1.0,0.9936708860759493,0.012658227848101266,0.0
smote,0.22000000000000003,0.99375,0.9938650306748467,0.9999906235349273,1.0,0.9873417721518988,0.9878048780487805,1.0,0.9936708860759493,0.012658227848101266,0.0
smote,0.23000000000000004,0.99375,0.9938650306748467,0.9999906235349273,1.0,0.9873417721518988,0.9878048780487805,1.0,0.9936708860759493,0.012658227848101266,0.0
smote,0.24000000000000005,0.99375,0.9938650306748467,0.9999906235349273,1.0,0.9873417721518988,0.9878048780487805,1.0,0.9936708860759493,0.012658227848101266,0.0
smote,0.25000000000000006,0.995,0.995085995085995,0.9999906235349273,1.0,0.9898734177215189,0.9902200488997555,1.0,0.9949367088607595,0.010126582278481013,0.0
smote,0.26000000000000006,0.995,0.995085995085995,0.9999906235349273,1.0,0.9898734177215189,0.9902200488997555,1.0,0.9949367088607595,0.010126582278481013,0.0
smote,0.2700000000000001,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.2800000000000001,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.2900000000000001,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.3000000000000001,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.3100000000000001,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.3200000000000001,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.3300000000000001,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.34000000000000014,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.35000000000000014,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.36000000000000015,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.37000000000000016,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.38000000000000017,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.3900000000000002,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.4000000000000002,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.4100000000000002,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.4200000000000002,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.4300000000000002,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.4400000000000002,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.45000000000000023,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.46000000000000024,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.47000000000000025,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.48000000000000026,0.9975,0.9975369458128078,0.9999906235349273,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
smote,0.49000000000000027,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5000000000000002,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5100000000000002,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5200000000000002,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5300000000000002,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5400000000000003,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5500000000000003,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5600000000000003,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5700000000000003,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5800000000000003,0.9975,0.9975308641975309,0.9999906235349273,0.9975308641975309,0.9974683544303797,0.9975308641975309,0.9974683544303797,0.9974996093139553,0.002531645569620253,0.0024691358024691358
smote,0.5900000000000003,0.9975,0.9975247524752475,0.9999906235349273,0.9950617283950617,1.0,1.0,0.9949622166246851,0.9975308641975309,0.0,0.0049382716049382715
smote,0.6000000000000003,0.9975,0.9975247524752475,0.9999906235349273,0.9950617283950617,1.0,1.0,0.9949622166246851,0.9975308641975309,0.0,0.0049382716049382715
smote,0.6100000000000003,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.6200000000000003,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.6300000000000003,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.6400000000000003,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.6500000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.6600000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.6700000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.6800000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.6900000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.7000000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.7100000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.7200000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.7300000000000004,0.99375,0.9937888198757764,0.9999906235349273,0.9876543209876543,1.0,1.0,0.9875,0.9938271604938271,0.0,0.012345679012345678
smote,0.7400000000000004,0.9925,0.9925373134328358,0.9999906235349273,0.9851851851851852,1.0,1.0,0.9850374064837906,0.9925925925925926,0.0,0.014814814814814815
smote,0.7500000000000004,0.9925,0.9925373134328358,0.9999906235349273,0.9851851851851852,1.0,1.0,0.9850374064837906,0.9925925925925926,0.0,0.014814814814814815
smote,0.7600000000000005,0.9925,0.9925373134328358,0.9999906235349273,0.9851851851851852,1.0,1.0,0.9850374064837906,0.9925925925925926,0.0,0.014814814814814815
smote,0.7700000000000005,0.9925,0.9925373134328358,0.9999906235349273,0.9851851851851852,1.0,1.0,0.9850374064837906,0.9925925925925926,0.0,0.014814814814814815
smote,0.7800000000000005,0.99125,0.9912826899128269,0.9999906235349273,0.9827160493827161,1.0,1.0,0.9825870646766169,0.991358024691358,0.0,0.01728395061728395
smote,0.7900000000000005,0.99125,0.9912826899128269,0.9999906235349273,0.9827160493827161,1.0,1.0,0.9825870646766169,0.991358024691358,0.0,0.01728395061728395
smote,0.8000000000000005,0.99125,0.9912826899128269,0.9999906235349273,0.9827160493827161,1.0,1.0,0.9825870646766169,0.991358024691358,0.0,0.01728395061728395
smote,0.8100000000000005,0.99125,0.9912826899128269,0.9999906235349273,0.9827160493827161,1.0,1.0,0.9825870646766169,0.991358024691358,0.0,0.01728395061728395
